POS,AGE,EXP,TEAM,GP,MIN,FGM,FGA,FG_PERCENT,x3PM,x3PA,x3P_PERCENT,FTM,FTA,FT_PERCENT,AST,STL,BLK,TOV,PF,PTS
SF,24,1,HOU,4,87,19,33,0.576,4,13,0.308,1,4,0.25,5,2,4,3,11,43
PG,26,6,PHO,60,1079,191,395,0.484,73,166,0.44,50,56,0.893,217,36,16,60,97,505
SF,25,2,TOT,5,40,6,18,0.333,3,12,0.25,0,0,NA,2,0,0,0,2,15
SF,25,2,SAS,3,6,1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,2
SF,25,2,HOU,2,34,5,16,0.313,3,12,0.25,0,0,NA,2,0,0,0,2,13
SG,26,5,TOT,47,1486,359,814,0.441,84,258,0.326,146,180,0.811,245,66,30,102,105,948
SG,26,5,BRK,12,334,87,200,0.435,22,63,0.349,26,34,0.765,72,13,6,26,20,222
SG,26,5,IND,35,1152,272,614,0.443,62,195,0.318,120,146,0.822,173,53,24,76,85,726
PF,36,18,POR,69,1690,327,777,0.421,133,325,0.409,137,154,0.89,104,46,38,61,144,924
SG,22,2,BOS,31,276,47,111,0.423,18,63,0.286,11,13,0.846,14,7,1,7,25,123
SG,21,1,IND,24,93,13,43,0.302,3,13,0.231,7,9,0.778,1,1,2,1,14,36
PG,22,1,WAS,22,98,14,33,0.424,8,17,0.471,5,6,0.833,12,2,1,5,8,41
SF,25,4,CLE,59,1510,219,586,0.374,99,324,0.306,76,95,0.8,174,53,9,80,119,613
SF,24,3,TOT,25,346,39,103,0.379,8,22,0.364,21,25,0.84,17,12,5,20,33,107
SF,24,3,CHI,7,64,5,18,0.278,1,3,0.333,2,2,1,4,1,0,5,9,13
SF,24,3,WAS,18,282,34,85,0.4,7,19,0.368,19,23,0.826,13,11,5,15,24,94
SG,23,2,OKC,9,152,13,43,0.302,5,21,0.238,9,10,0.9,9,4,2,6,19,40
PG,27,4,ORL,41,837,92,237,0.388,44,130,0.338,38,48,0.792,74,22,5,46,64,266
C,23,3,SAC,36,488,91,179,0.508,13,37,0.351,31,43,0.721,28,14,18,29,59,226
C,28,4,TOR,60,1453,288,560,0.514,90,235,0.383,152,193,0.788,63,35,111,46,166,818
PG,25,3,BRK,22,232,31,88,0.352,13,42,0.31,13,17,0.765,65,7,6,16,19,88
PG,35,16,PHO,70,2199,439,879,0.499,102,258,0.395,169,181,0.934,622,99,19,156,166,1149
PF,24,2,TOT,15,92,10,16,0.625,1,1,1,11,15,0.733,6,1,6,10,24,32
